Location,Lat,Long,WC_TEMP,WC_SUMMER,WC_PREC,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,MEAN,SumT,Depth,Elev
VI-04-57,69.66,-105.36,-15.3,4.6,13.1,-33.6,-33.8,-31.2,-22.7,-10.1,1.3,7.3,5.3,-1.4,-12.4,-24.2,-29.9,-15.45,6.3,6.9,150
VI-04-58,69.58,-105.33,-15.3,4.6,13.5,-33.6,-33.9,-31.2,-22.7,-10.1,1.2,7.2,5.3,-1.5,-12.4,-24.3,-30,-15.5,6.25,2.9,151
VI-04-59,69.54,-105.28,-15.1,4.8,13.1,-33.6,-33.9,-31.2,-22.7,-10.1,1.2,7.2,5.3,-1.5,-12.4,-24.3,-30,-15.5,6.25,4,130
VI-04-60,69.3,-105.23,-14.8,5.2,13.4,-33.5,-33.7,-30.9,-22.3,-9.7,1.6,7.7,5.9,-0.9,-11.9,-23.9,-29.7,-15.10833333,6.8,3,68
TK-6,66.69,-104.93,-13.5,6.3,17.6,-33.1,-32.5,-29.1,-19.3,-7.3,3.2,9,7.3,0.7,-9.2,-21.8,-28.7,-13.4,8.15,4.5,248
TK-7,66.69,-104.93,-13.5,6.3,17.6,-33.1,-32.5,-29.1,-19.3,-7.3,3.2,9,7.3,0.7,-9.2,-21.8,-28.7,-13.4,8.15,9.5,248
TK-8,64.68,-102.44,-12.1,7.8,19.9,-32.7,-31.6,-27.5,-17,-5.5,4.5,10.2,8.5,1.9,-7.3,-20.2,-27.8,-12.04166667,9.35,3,150
TK-9,64.88,-102.75,-12.7,7,21,-32.8,-31.8,-27.7,-17.3,-5.7,4.3,10,8.3,1.7,-7.6,-20.4,-28,-12.25,9.15,5.5,300
TK-10,65.48,-103.37,-12.7,7,19,-32.8,-31.8,-28,-17.6,-5.9,4.1,9.8,8.1,1.5,-7.8,-20.7,-28,-12.425,8.95,3,200
TK-14,64.6,-107.1,-11.3,8.2,23.7,-31.8,-30.2,-26.1,-15,-3.4,5.8,11.1,9.6,2.7,-6.2,-18.9,-27,-10.78333333,10.35,4.9,394
TK-15,64.6,-107.09,-11.3,8.2,23.7,-31.8,-30.2,-26.1,-15,-3.4,5.8,11.1,9.6,2.7,-6.2,-18.9,-27,-10.78333333,10.35,3,403
TK-17,64.6,-107.08,-11.3,8.2,23.7,-31.8,-30.2,-26.1,-15,-3.4,5.8,11.1,9.6,2.7,-6.2,-18.9,-27,-10.78333333,10.35,5.9,411
TK-18,64.16,-107.82,-10.6,8.8,25,-31.3,-29.5,-25.2,-13.7,-2.2,6.6,11.7,10.3,3.4,-5.3,-18,-26.5,-9.975,11,7.3,399
TK-19,64.16,-107.82,-10.6,8.8,25,-31.3,-29.5,-25.2,-13.7,-2.2,6.6,11.7,10.3,3.4,-5.3,-18,-26.5,-9.975,11,0.75,399
TK-20,64.15,-107.82,-10.6,8.8,25,-31.3,-29.5,-25.2,-13.7,-2.2,6.6,11.7,10.3,3.4,-5.3,-18,-26.5,-9.975,11,8.8,389
TK-21,64.16,-107.82,-10.6,8.8,25,-31.3,-29.5,-25.2,-13.7,-2.2,6.6,11.7,10.3,3.4,-5.3,-18,-26.5,-9.975,11,1,399
TK-23,62.73,-113.83,-6.4,12.8,28,-28.4,-25.7,-20,-8,2.9,11.1,14.8,12.5,5.6,-2.1,-15.2,-24.7,-6.433333333,13.65,2,275
TK-27,62.82,-113.56,-6.6,12.6,28.1,-28.4,-25.7,-20,-8,2.8,11,14.7,12.4,5.5,-2.1,-15.2,-24.7,-6.475,13.55,3,274
TK-29,63.42,-112.66,-8.7,10.4,29.4,-29.3,-27.2,-22.3,-10.7,0,9,13.1,11,4.2,-4,-17.2,-25.5,-8.241666667,12.05,10.1,415
TK-30,63.56,-112.35,-8.8,10.3,28.7,-29.4,-27.3,-22.4,-11,-0.3,8.8,13,10.9,4.1,-4.2,-17.4,-25.6,-8.4,11.95,1.5,432
Sommerfugle so,74.4983,-20.6033,-11,1.9,24.8,-22.3,-23.8,-23,-17,-7.1,-0.4,2.5,1.9,-4.5,-12.8,-19.1,-21.4,-12.25,2.2,1.8,84
Vesterport so,74.4867,-20.5867,-11,1.9,24.8,-22.3,-23.8,-23,-17,-7.1,-0.4,2.5,1.9,-4.5,-12.8,-19.1,-21.4,-12.25,2.2,0.7,71
Hestehale so,74.4883,-20.6083,-11,1.9,24.8,-22.3,-23.8,-23,-17,-7.1,-0.4,2.5,1.9,-4.5,-12.8,-19.1,-21.4,-12.25,2.2,0.3,89
Lake No. 19,74.465,-20.5733,-11,1.9,24.8,-22.3,-23.8,-23,-17,-7.1,-0.4,2.5,1.9,-4.5,-12.8,-19.1,-21.4,-12.25,2.2,0.2,15
Sletten so,74.48,-20.585,-11,1.9,24.8,-22.3,-23.8,-23,-17,-7.1,-0.4,2.5,1.9,-4.5,-12.8,-19.1,-21.4,-12.25,2.2,1,67
Storvatnet,78.9259,11.9386,-5.2,3.2,37.5,-15.6,-15.7,-14.9,-12.2,-4.7,0.6,4.1,3.1,-1.5,-6.9,-10.3,-13.9,-7.325,3.6,1,2
Reinsdyr heia,79.7046,13.3819,-6.2,3.1,31.7,-15.8,-16,-15.5,-12.4,-4.7,1.1,4.6,3.6,-0.9,-6.6,-10.5,-13.9,-7.25,4.1,0.75,8
Kap Linne,78.0577,13.6744,-4.9,3.4,43.4,-13,-13.1,-13.6,-10.5,-4,1.3,4.6,3.9,0.5,-4.7,-8.4,-11.1,-5.675,4.25,1,8
Solvatnet,78.9239,11.8813,-5.3,3.1,37.9,-15.6,-15.7,-14.9,-12.2,-4.7,0.6,4.1,3.1,-1.5,-6.9,-10.3,-13.9,-7.325,3.6,0.8,25
Mossel,79.892,16.0444,-6.9,3.1,21.6,-17.6,-18.1,-17.3,-14.2,-5.6,0.7,4.5,3.4,-1.4,-7.5,-12.4,-16.1,-8.466666667,3.95,1.5,0
Coles,78.1011,15.0611,-5.8,4,28.6,-15.7,-16.2,-15.7,-12.6,-4.8,1,4.8,3.6,-0.8,-6.4,-10.6,-13.8,-7.266666667,4.2,2,22
LCL,70.909,-25.585,-11.2,-1.2,71.8,-17.9,-18.6,-18.3,-13.4,-5.6,-0.3,1.9,1.5,-3.2,-9.2,-14.4,-16.9,-9.533333333,,8.9,660
DS0,76.7595,-67.61,-13.4,2.2,16.2,-26.1,-27.1,-27.3,-20,-8.4,-1,2.2,1.4,-4.8,-12.7,-19.6,-24.2,-13.96666667,6.2,18.7,385
NorthLake,69.2417,-50.0267,-5.9,6,28.4,-16.7,-17.9,-17.7,-10.4,-1,4.3,7,5.4,0.3,-6.7,-11.4,-14.9,-6.641666667,7.5,4.5,190
N14,59.980833,-45.18,1.7,7.8,119.8,-4.8,-4.2,-3.5,0.2,4.2,6.7,8.7,8.6,6,1.9,-1.3,-3.9,1.55,7.6,8,33
