Location,Lat,Long,WC_TEMP,WC_SUMMER,WC_PREC,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,MEAN,SumT,Depth,Elev
B25,61.96,-66.08,-7.6,4.1,36.5,-21.2,-21.7,-19.8,-12.1,-4,1.4,5.9,5.6,1.7,-3.4,-8.6,-17,-7.766666667,5.75,35.5,52
B26,61.68,-65.12,-6.8,3.9,34.4,-19.5,-19.8,-18.5,-11.1,-3.7,1.3,5.8,5.6,1.8,-2.8,-7.2,-15.3,-6.95,5.7,3.7,322
B30,63.78,-68.54,-10.1,5.2,42.5,-27.1,-28.3,-25,-16,-5.4,2.4,6.7,5.8,1.2,-5.8,-13.6,-23.1,-10.68333333,6.25,4.9,156
B34,72.27,-84.68,-14.1,3.4,17.3,-29.2,-30,-28.1,-20,-9.3,1.1,5.9,3.5,-2.9,-13,-21.2,-25.9,-14.09166667,4.7,10.5,61
B37,72.7,-77.38,-18.2,0.5,27.2,-33,-35.2,-32.1,-24,-11.2,-0.5,3.7,2.2,-4,-14.6,-24.8,-30.5,-17,2.95,8.4,685.8
B38,72.43,-75.34,-13.7,3.9,15.3,-30.6,-32.4,-30.2,-22,-9.8,0.4,5.1,3.6,-2.6,-12.7,-22.3,-28.2,-15.14166667,4.35,4.1,106.7
B41,71.95,-79.33,-14.5,3.6,17.1,-31.2,-32.9,-30,-21.9,-9.8,0.5,5.1,3.7,-2.2,-12.5,-22.6,-27.9,-15.14166667,4.4,3.6,64
B42,71.75,-78.32,-16.5,1.8,23.2,-32.5,-34.3,-31.5,-23.3,-11.1,-0.9,3.7,2.3,-3.7,-13.7,-24,-29.5,-16.54166667,3,10.4,646.2
B48,70.96,-70.86,-12.7,3.2,19.9,-28.3,-29.5,-28.4,-20.6,-9.7,-0.6,4.2,2.9,-2.9,-11.1,-19.8,-25.9,-14.14166667,3.55,13.2,134.1
B50,69.89,-67.82,-12.2,2.7,23.3,-26,-27.1,-25.8,-18.2,-8,0.4,4.4,3.7,-0.7,-7.3,-16.5,-23.1,-12.01666667,4.05,13.6,158.5
B51,69.42,-67.31,-11.6,2.9,23.3,-25.2,-26.2,-24.8,-17.4,-7.6,0.5,4.7,3.9,-0.8,-7,-15.7,-22.2,-11.48333333,4.3,21,207.3
B52,69.76,-70.65,-13.7,2.3,26,-28,-29,-28.1,-20.2,-9.8,-0.8,4.5,3,-2.9,-10.9,-19.3,-25.4,-13.90833333,3.75,14.6,579.1
B53,69.88,-70.41,-14.6,1.4,29.1,-28.9,-30,-29,-21.1,-10.5,-1.6,3.6,2.1,-3.7,-11.6,-20.3,-26.4,-14.78333333,2.85,4.8,112.8
B55,63.6,-65.52,-10.8,1.8,49.1,-24.2,-24.7,-23,-15.4,-6.7,-0.8,3.7,3.2,-1.3,-6.8,-12.6,-20.6,-10.76666667,3.45,17.9,597.4
B56,67.8,-66.28,-14,0.4,38.2,-26.9,-27.9,-26.4,-19,-9.6,-1.9,2.8,1.5,-3.8,-9.7,-17.5,-24,-13.53333333,2.15,6.5,79.2
B58,66.8,-63.96,-10.7,2.9,32.3,-23.3,-24,-22.6,-15.6,-6.9,0.2,5.2,4.3,-1.1,-6.7,-13.9,-20.4,-10.4,4.75,11,18.3
B59,66.95,-62.9,-10.2,3.4,36.8,-23.3,-24,-22.8,-15.7,-6.9,0.1,5.1,4.2,-1.3,-7.3,-14.4,-20.5,-10.56666667,4.65,14.7,201.2
B60,66.91,-62.17,-10.3,3.2,47.1,-23.6,-24.3,-23.3,-16.1,-7,0,4.8,4,-1.6,-8,-15.1,-21,-10.93333333,4.4,18.2,152.4
L01,51.417,-57.083,0.6,10.8,114.6,-11.4,-11.2,-7,-1.6,3.1,7.4,11.7,12,8.6,3.5,-1.1,-7.5,0.541666667,11.85,14,65
L02,51.583,-56.75,0.5,10.8,114,-11.7,-11.6,-7.4,-2,2.9,7.3,11.8,12,8.5,3.1,-1.6,-7.9,0.283333333,11.9,5,208
L03,51.583,-57.25,-0.3,10,119,-12.8,-12.4,-8,-2.6,2.3,6.6,10.9,11.1,7.6,2.4,-2.3,-9,-0.516666667,11,23,14
L10,52.917,-56.917,-1.2,9,109,-14.5,-14,-9.3,-3.7,1.6,6.4,10.6,10.5,6.8,1.6,-3.3,-10.4,-1.475,10.55,2,220
L14,52.417,-57.75,-1.6,9.3,116.3,-15.8,-14.8,-10,-3.9,1.6,6.4,10.8,10.5,6.4,0.9,-4.2,-11.9,-2,10.65,1,297
L16,52.083,-57.75,-0.9,9.8,116.1,-14.9,-13.9,-9.1,-3.2,2.1,6.8,11.2,11,7,1.5,-3.5,-11,-1.333333333,11.1,8,319
L17,52.083,-57.917,-1.1,9.9,117,-15.3,-14.1,-9.3,-3.2,2.1,6.9,11.3,11,6.9,1.4,-3.7,-11.4,-1.45,11.15,6,324
