Location,Cat
VI-04-55,Canada
VI-04-56,Canada
VI-04-57,Canada
VI-04-58,Canada
VI-04-59,Canada
VI-04-60,Canada
TK-6,Canada
TK-7,Canada
TK-8,Canada
TK-9,Canada
TK-10,Canada
TK-14,Canada
TK-15,Canada
TK-17,Canada
TK-18,Canada
TK-19,Canada
TK-20,Canada
TK-21,Canada
TK-23,Canada
TK-27,Canada
TK-29,Canada
TK-30,Canada
Sommerfugle so,Greenland
Vesterport so,Greenland
Hestehale so,Greenland
Lake No. 19,Greenland
Sletten so,Greenland
Storvatnet,Svalbard
Reinsdyr heia,Svalbard
Kap Linne,Svalbard
Solvatnet,Svalbard
Mossel,Svalbard
Coles,Svalbard
LCL,Greenland
DS0,Greenland
NorthLake,Greenland
N14,Greenland
